"sample","input","filtered","denoised.fwd","denoised.rev","merged","ChimeraFiltered"
"P02_01_A",35038,17620,17016,16783,9821,9821
"P02_01_B",34144,13963,13601,13328,7884,7884
"P02_01_C",38728,20161,19616,19652,18091,17756
"P02_01_D",26229,13116,12467,12246,11362,11362
"P02_01_E",26568,13108,12500,12137,8967,8928
"P02_01_F",28738,13902,13491,13115,11008,11008
"P02_01_G",11372,5801,5262,5087,4462,4462
"P02_01_H",21846,10670,9974,9372,8787,8787
"P02_02_A",23263,10621,10276,9343,6868,6868
"P02_02_C",26552,9866,9602,9366,5820,5820
"P02_02_D",24623,11731,11392,11053,7600,7583
"P02_02_E",23975,12044,11387,10963,2888,2888
"P02_02_F",24215,10975,10320,10122,8007,7982
"P02_02_G",11934,4224,3819,3642,2000,2000
"P02_02_H",17151,8647,8079,7932,6968,6939
"P02_03_A",13461,6959,6629,6577,5713,5713
"P02_03_C",18857,8401,8086,7929,5615,5615
"P02_03_D",26124,13051,12859,12510,10727,10302
"P02_03_E",27854,12261,11922,11827,8735,8519
"P02_03_F",24785,12973,12347,12378,10524,10524
"P02_03_G",10313,5235,4856,4726,4259,4259
"P02_03_H",22796,8978,8308,8710,5320,5234
"P02_04_A",18274,8762,8498,7861,5675,5675
"P02_04_C",6221,3036,2750,2564,2400,2400
"P02_04_D",11689,6015,5521,5257,3840,3840
"P02_04_E",19852,8422,8175,7939,4870,4870
"P02_04_F",20783,10331,9851,9936,7475,7475
"P02_04_G",23997,12171,11796,11577,8663,8493
"P02_04_H",15346,7300,6643,6871,4660,4660
"P02_05_A",26948,13542,12908,13048,11915,11864
"P02_05_B",17698,8251,7753,7671,6141,6141
"P02_05_C",10998,4857,4226,3977,3284,3284
"P02_05_D",20973,9293,8959,8809,7009,7009
"P02_05_E",24156,9820,9361,9349,5916,5916
"P02_05_F",21829,10647,10135,10189,5192,5192
"P02_05_G",19222,9247,8477,8551,6269,6269
"P02_05_H",14475,7199,6602,6663,4757,4757
"P02_06_A",21937,11712,11467,11157,10677,10650
"P02_06_C",4275,1929,1587,1327,969,969
"P02_06_D",12542,5907,5385,5257,4835,4835
"P02_06_E",5254,2521,2342,2229,1797,1797
"P02_06_F",18688,7740,7464,7364,4508,4508
"P02_06_G",20166,9964,9621,9103,5571,5503
"P02_06_H",15021,7728,7392,7242,3818,3818
"P02_07_A",33336,16475,15955,15777,10413,10390
"P02_07_B",28854,13222,12948,12501,8263,8263
"P02_07_C",13698,5968,5711,5544,4586,4586
"P02_07_D",15874,6548,6113,6087,1871,1871
"P02_07_E",15847,7895,7547,7250,6289,6289
"P02_07_F",9911,4778,4436,4415,3668,3668
"P02_07_G",14181,6934,6660,6421,2610,2610
"P02_07_H",13048,5823,5304,5465,3823,3823
"P02_08_A",29048,15162,14567,14143,13280,13280
"P02_08_B",37777,17249,16668,16894,9317,9317
"P02_08_C",21476,9356,8930,8822,5326,5326
"P02_08_D",22425,10157,9311,9338,5393,5393
"P02_08_E",19095,8632,8203,7843,5981,5981
"P02_08_F",26363,11372,10917,10581,6903,6903
"P02_08_G",19261,9905,9547,9240,8601,8601
"P02_08_H",13121,5365,5175,5148,3392,3392
"P02_09_A",485,225,127,96,80,80
"P02_09_B",24424,13066,12423,12573,11344,11344
"P02_09_C",24119,11103,10741,10704,8614,8614
"P02_09_D",7755,2679,2460,2373,713,713
"P02_09_E",8199,4058,3832,3761,3454,3454
"P02_09_F",21059,10562,10220,9951,6088,6088
"P02_09_G",14384,6621,6365,6100,2358,2358
"P02_09_H",8210,3736,3477,3313,2993,2993
"P02_10_A",19782,9651,9378,8761,7181,7181
"P02_10_B",26979,7508,7108,6615,1968,1968
"P02_10_C",18078,8201,7880,7663,4149,4149
"P02_10_D",5341,2514,2328,2083,481,481
"P02_10_E",21439,10355,9955,9827,6795,6795
"P02_10_F",9219,4540,4013,3670,3159,3159
"P02_10_G",5582,2487,2130,2014,1382,1382
"P02_10_H",12629,5570,4948,4787,3334,3334
"P02_11_A",25630,12128,11876,11193,6554,6541
"P02_11_B",17018,8702,8243,7550,5227,5227
"P02_11_C",16954,8326,7876,7570,5896,5896
"P02_11_D",7023,3011,2367,2165,1476,1476
"P02_11_E",13819,6536,6198,6240,4876,4786
"P02_11_F",14054,6964,6720,6604,1666,1666
"P02_11_G",14365,6218,5593,5896,3984,3984
"P02_11_H",12325,5372,4738,5110,4190,4190
"P02_12_A",22679,9978,9840,9204,5951,5951
"P02_12_B",17850,8463,8328,5706,2872,2872
"P02_12_C",475,204,163,21,15,15
"P02_12_D",12841,6023,5447,5612,3173,3173
"P02_12_E",17370,8104,7984,7277,2065,2065
"P02_12_F",21161,9904,9727,8928,1982,1982
"P02_12_G",53,25,19,16,16,16
"P02_12_H",4913,2606,2537,2499,2463,2463
"P04_06_A",19416,8832,8220,8355,5463,5463
"P04_06_C",28046,12297,12147,11544,8076,8076
"P04_06_D",34222,14751,14526,14411,11260,11260
"P04_06_F",31127,14474,14354,14313,2277,2108
"P04_06_G",13123,6664,6376,6166,3035,3035
"P04_06_H",9546,4628,4499,4035,3286,3286
"P04_07_A",19533,9314,9055,8421,7193,7193
"P04_07_B",30129,14709,14389,14390,7332,7332
"P04_07_C",17514,7738,7233,7451,3817,3817
"P04_07_D",51079,23804,23174,22958,14903,14623
"P04_07_E",47047,23280,22721,22774,11942,11942
"P04_07_F",42641,21561,21339,20900,9019,9019
"P04_07_G",21851,11025,10710,10558,6800,6210
"P04_07_H",15139,6986,6838,6405,2391,2391
"P04_08_A",16561,8422,8122,6488,5335,5147
"P04_08_B",24708,11374,11069,10163,8377,8377
"P04_08_C",15069,6886,6312,6709,4972,4972
"P04_08_D",20867,10754,10368,10544,9478,9478
"P04_08_E",27033,13824,13373,13514,11478,11478
"P04_08_F",28620,10972,10787,10818,7892,7892
"P04_08_G",11778,5957,5795,5214,4364,4364
"P04_08_H",17922,8845,8249,8702,6972,6972
"P04_09_A",97,48,34,29,29,29
"P04_09_B",8260,4197,3980,3982,2890,2890
"P04_09_C",5694,2523,2367,2412,1589,1589
"P04_09_D",27201,13704,13205,13319,12330,12330
"P04_09_E",20292,9384,8842,9268,6458,6458
"P04_09_F",16886,8000,7733,7630,5214,5214
"P04_09_G",19106,8613,8468,7597,6231,6177
"P04_09_H",191,88,87,87,60,60
"P04_10_A",18315,9792,9639,9727,9567,9532
