"","sample","library_processing_notes","marker","Study","Tree","Sex","Collection","Season","Weevil","Nitrogen","Stream","Notes"
"P03_01_A","1144","Ran out of 1144 for bacterial PCR plate 1, placed more on Bact plate 2","V4","EH2","E-2","Female","Fall","Fall","No",8,"Geo-W",""
"P03_01_B","1089","","V4","EH2","E-1","Female","Fall","Fall","No",0,"Geo-W","again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
"P03_01_C","1162","","V4","EH2","E-9","Female","Fall","Fall","No",16,"Geo-W",""
"P03_01_D","1396","","V4","EH2","E-7","Male","Fall","Fall","No",8,"Geo-W",""
"P03_01_E","1209","","V4","EH2","E-14","Male","Fall","Fall","No",0,"Geo-W",""
"P03_01_G","1128","","V4","EH2","E-15","Male","Fall","Fall","No",16,"Geo-W",""
"P03_01_H","2005","","V4","EH2","E-9","Female","Fall","Fall","No",16,"Geo-W",""
"P03_02_A","1317","","V4","SH2","6281","Female","Summer","Summer","Yes",0,"Geo-W","pellet in supernatant transfer"
"P03_02_C","1028","","V4","SH2","8358","Female","Fall","Summer","No",0,"Geo-W",""
"P03_02_D","1169","","V4","SH2","8377","Female","Fall","Summer","No",0,"Geo-W",""
"P03_02_E","1054","","V4","EH2","E-6","Male","Fall","Fall","Yes",16,"Geo-W",""
"P03_02_F","1216","","V4","EH2","E-14","Male","Fall","Fall","No",0,"Geo-W",""
"P03_02_G","1145","","V4","EH2","E-2","Female","Fall","Fall","No",8,"Geo-W",""
"P03_02_H","1100","","V4","EH2","E-10","Female","Fall","Fall","Yes",0,"Geo-W",""
"P03_03_A","1336","","V4","SH2","8327","Female","Fall","Summer","No",0,"Geo-W",""
"P03_03_C","1333","","V4","SH2","8366","Female","Fall","Summer","No",0,"Geo-W",""
"P03_03_D","1323","","V4","SH2","6513","Male","Summer","Summer","Yes",0,"Geo-W",""
"P03_03_E","1357","","V4","FH2","1471","Male","Summer","Fall","Yes",0,"Geo-W",""
"P03_03_F","1347","","V4","FH2","6251","Male","Summer","Fall","Yes",0,"Geo-W",""
"P03_03_G","1112","","V4","FH2","8357","Male","Fall","Fall","No",0,"Geo-W",""
"P03_03_H","1351","","V4","FH2","P-907","Male","Summer","Fall","Yes",0,"Geo-W",""
"P03_04_A","1338","","V4","SH2","8365","Male","Fall","Summer","No",0,"Geo-W",""
"P03_04_C","1051","","V4","FH2","8343","Male","Fall","Fall","No",0,"Geo-W",""
"P03_04_D","1088","","V4","FH2","8387","Male","Fall","Fall","No",0,"Geo-W",""
"P03_04_E","1314","","V4","SH2","6295","Female","Summer","Summer","Yes",0,"Geo-W",""
"P03_04_F","1254","","V4","FH2","6242","Female","Summer","Fall","Yes",0,"Geo-W",""
"P03_04_G","1363","","V4","FH2","6513","Male","Summer","Fall","Yes",0,"Geo-W",""
"P03_04_H","1038","","V4","FH2","8331","Male","Fall","Fall","No",0,"Geo-W",""
"P03_05_A","1120","DNA might have been added twice!","V4","EH2","E-15","Male","Fall","Fall","No",16,"Geo-W",""
"P03_05_C","1327","DNA might have been added twice!","V4","SH2","1471","Male","Summer","Summer","Yes",0,"Geo-W",""
"P03_05_D","1369","DNA might have been added twice!","V4","FH2","S-1","Female","Summer","Fall","Yes",0,"Geo-W",""
"P03_05_E","1343","DNA might have been added twice!","V4","FH2","6325","Male","Summer","Fall","Yes",0,"Geo-W",""
"P03_05_F","1294","DNA might have been added twice!","V4","SH2","P-907","Male","Summer","Summer","Yes",0,"Geo-W","small weight loss -leaf fell"
"P03_05_G","1270","DNA might have been added twice!","V4","FH2","8314","Female","Summer","Fall","Yes",0,"Geo-W",""
"P03_05_H","1067","DNA might have been added twice!","V4","FH2","8380","Female","Fall","Fall","No",0,"Geo-W",""
"P03_06_A","1233","","V4","EH2","E-3","Female","Fall","Fall","No",16,"Geo-W",""
"P03_06_C","1048","","V4","SH2","8343","Male","Fall","Summer","No",0,"Geo-W",""
"P03_06_D","1267","","V4","SH2","8314","Female","Summer","Summer","Yes",0,"Geo-W",""
"P03_06_E","1017","","V4","SH2","8356","Female","Fall","Summer","No",0,"Geo-W",""
