"","sample","library_processing_notes","marker","Study","Tree","Sex","Collection","Season","Weevil","Nitrogen","Stream","Notes"
"P02_01_A","1144","","ITS2","EH2","E-2","Female","Fall","Fall","No",8,"Geo-W",""
"P02_01_B","1089","","ITS2","EH2","E-1","Female","Fall","Fall","No",0,"Geo-W","again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
"P02_01_C","1162","","ITS2","EH2","E-9","Female","Fall","Fall","No",16,"Geo-W",""
"P02_01_D","1396","","ITS2","EH2","E-7","Male","Fall","Fall","No",8,"Geo-W",""
"P02_01_E","1209","","ITS2","EH2","E-14","Male","Fall","Fall","No",0,"Geo-W",""
"P02_01_F","1059","","ITS2","EH2","E-6","Male","Fall","Fall","Yes",16,"Geo-W",""
"P02_01_G","1128","","ITS2","EH2","E-15","Male","Fall","Fall","No",16,"Geo-W",""
"P02_01_H","2005","","ITS2","EH2","E-9","Female","Fall","Fall","No",16,"Geo-W",""
"P02_02_A","1317","","ITS2","SH2","6281","Female","Summer","Summer","Yes",0,"Geo-W","pellet in supernatant transfer"
"P02_02_C","1028","","ITS2","SH2","8358","Female","Fall","Summer","No",0,"Geo-W",""
"P02_02_D","1169","","ITS2","SH2","8377","Female","Fall","Summer","No",0,"Geo-W",""
"P02_02_E","1054","","ITS2","EH2","E-6","Male","Fall","Fall","Yes",16,"Geo-W",""
"P02_02_F","1216","","ITS2","EH2","E-14","Male","Fall","Fall","No",0,"Geo-W",""
"P02_02_G","1145","","ITS2","EH2","E-2","Female","Fall","Fall","No",8,"Geo-W",""
"P02_02_H","1100","","ITS2","EH2","E-10","Female","Fall","Fall","Yes",0,"Geo-W",""
"P02_03_A","1336","","ITS2","SH2","8327","Female","Fall","Summer","No",0,"Geo-W",""
"P02_03_C","1333","","ITS2","SH2","8366","Female","Fall","Summer","No",0,"Geo-W",""
"P02_03_D","1323","","ITS2","SH2","6513","Male","Summer","Summer","Yes",0,"Geo-W",""
"P02_03_E","1357","","ITS2","FH2","1471","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_03_F","1347","","ITS2","FH2","6251","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_03_G","1112","","ITS2","FH2","8357","Male","Fall","Fall","No",0,"Geo-W",""
"P02_03_H","1351","","ITS2","FH2","P-907","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_04_A","1338","","ITS2","SH2","8365","Male","Fall","Summer","No",0,"Geo-W",""
"P02_04_C","1051","","ITS2","FH2","8343","Male","Fall","Fall","No",0,"Geo-W",""
"P02_04_D","1088","","ITS2","FH2","8387","Male","Fall","Fall","No",0,"Geo-W",""
"P02_04_E","1314","","ITS2","SH2","6295","Female","Summer","Summer","Yes",0,"Geo-W",""
"P02_04_F","1254","","ITS2","FH2","6242","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_04_G","1363","","ITS2","FH2","6513","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_04_H","1038","","ITS2","FH2","8331","Male","Fall","Fall","No",0,"Geo-W",""
"P02_05_A","1120","","ITS2","EH2","E-15","Male","Fall","Fall","No",16,"Geo-W",""
"P02_05_B","1132","","ITS2","EH2","E-7","Male","Fall","Fall","No",8,"Geo-W",""
"P02_05_C","1327","","ITS2","SH2","1471","Male","Summer","Summer","Yes",0,"Geo-W",""
"P02_05_D","1369","","ITS2","FH2","S-1","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_05_E","1343","","ITS2","FH2","6325","Male","Summer","Fall","Yes",0,"Geo-W",""
"P02_05_F","1294","","ITS2","SH2","P-907","Male","Summer","Summer","Yes",0,"Geo-W","small weight loss -leaf fell"
"P02_05_G","1270","","ITS2","FH2","8314","Female","Summer","Fall","Yes",0,"Geo-W",""
"P02_05_H","1067","","ITS2","FH2","8380","Female","Fall","Fall","No",0,"Geo-W",""
"P02_06_A","1233","","ITS2","EH2","E-3","Female","Fall","Fall","No",16,"Geo-W",""
"P02_06_C","1048","","ITS2","SH2","8343","Male","Fall","Summer","No",0,"Geo-W",""
"P02_06_D","1267","","ITS2","SH2","8314","Female","Summer","Summer","Yes",0,"Geo-W",""
