Sample	Raw	f1.trim1	f1.trim2	f2.trim1	f2.trim2	b.trim1	b.trim2
P02_05_G	19474	2	0	19228	19222	0	0
P02_12_D	13003	0	0	12841	12841	6	0
P03_08_E	29934	0	0	1	0	28816	28815
P03_12_G	96	0	0	2	0	87	41
P01_05_C	9410	9233	9229	0	0	0	0
P04_11_H	4658	0	0	2	0	4601	4601
P02_01_F	29129	0	0	28747	28738	1	0
P02_09_A	499	0	0	485	485	7	0
P03_11_H	13329	0	0	1	0	12646	12646
P04_01_D	29424	28980	28980	0	0	3	0
P05_03_H	11240	0	0	0	0	11044	11044
P03_07_A	31033	0	0	0	0	30684	30684
P04_08_D	21184	1	0	20868	20867	3	0
P03_10_G	13183	0	0	0	0	12581	12581
P03_12_E	24693	0	0	2	0	23486	23486
P03_04_B	13	1	0	0	0	5	0
P03_08_B	27749	0	0	2	0	27333	27333
P01_02_E	57817	57038	57034	7	0	9	0
P03_04_E	41308	1	0	0	0	40896	40893
P04_07_A	19818	0	0	19540	19533	9	0
P04_07_B	30571	1	0	30138	30129	8	0
P01_02_C	41323	40688	40683	0	0	3	0
P02_09_F	21374	1	0	21064	21059	1	0
P04_06_B	14	7	0	1	0	5	0
P02_05_H	14670	0	0	14475	14475	1	0
P03_10_H	12285	1	0	0	0	11656	11656
P04_07_H	15365	0	0	15144	15139	2	0
P02_10_A	20115	0	0	19787	19782	3	0
P03_08_C	33421	0	0	0	0	33022	33019
P05_01_A	7002	0	0	0	0	6917	6917
P03_01_H	12204	1	0	0	0	12042	12040
P03_12_F	27246	1	0	1	0	26209	26209
P02_03_D	26628	2	0	26128	26124	1	0
P01_12_D	11133	10936	10934	2	0	0	0
P05_01_E	768	0	0	0	0	760	759
P05_02_H	33	0	0	0	0	29	23
P04_03_B	28295	27927	27924	4	0	2	0
P04_12_G	7735	0	0	5	0	7624	7624
P04_04_G	43215	42533	42532	1	0	2	0
P02_03_A	13656	2	0	13462	13461	1	0
P01_12_F	54168	53253	53253	0	0	248	248
P01_04_G	51778	51016	51014	2	0	8	0
P03_07_B	32078	0	0	1	0	31721	31720
P04_02_D	30555	30164	30164	2	0	3	0
P01_09_A	11	10	0	0	0	0	0
P02_01_B	34664	1	0	34145	34144	2	0
P05_03_G	12737	0	0	0	0	12548	12548
P01_11_A	13144	12890	12890	0	0	0	0
P04_09_H	222	0	0	211	191	3	0
P02_02_G	12133	0	0	11935	11934	3	0
P02_07_E	16076	0	0	15848	15847	1	0
P03_12_A	17285	0	0	7	0	17071	17069
P01_04_B	2196	2162	2162	0	0	3	0
P01_05_G	30251	29850	29845	0	0	2	0
P01_10_H	15035	14572	14572	0	0	246	246
P01_04_E	15833	15630	15627	3	0	5	0
P04_12_D	8162	0	0	7	0	8063	8063
P04_03_H	21430	21144	21140	0	0	3	0
P02_07_A	33819	0	0	33345	33336	2	0
P01_07_G	20027	19416	19415	2	0	293	293
P05_03_E	13403	0	0	0	0	13246	13245
P01_08_C	11133	10940	10939	1	0	3	0
P03_01_E	46948	0	0	1	0	46471	46469
P03_03_E	31587	0	0	0	0	31265	31265
P02_04_G	24366	1	0	23999	23997	8	0
P04_11_G	8585	0	0	5	0	8493	8492
P03_04_F	33479	0	0	0	0	33141	33140
P04_11_E	11	0	0	4	0	7	0
P04_07_F	43229	1	0	42656	42641	6	0
P03_07_H	16902	0	0	1	0	15450	15449
P03_05_F	27769	0	0	0	0	27526	27525
P03_04_G	28693	0	0	0	0	28305	28301
P02_03_F	25141	0	0	24789	24785	1	0
P01_09_G	21110	20406	20405	2	0	402	402
P02_04_E	20120	0	0	19852	19852	1	0
P03_04_H	13778	1	0	0	0	13652	13651
P04_08_F	29112	0	0	28621	28620	4	0
P03_05_G	19857	0	0	0	0	19624	19623
P01_06_A	35777	35296	35293	0	0	2	0
P01_10_E	31128	30268	30265	0	0	461	461
P01_04_A	191	182	181	0	0	1	0
P04_04_E	25843	25489	25471	0	0	4	0
P02_07_D	16122	0	0	15878	15874	1	0
P04_02_F	42846	42186	42185	3	0	1	0
P05_03_B	3	0	0	0	0	0	0
P01_03_B	10	5	0	0	0	1	0
P02_06_F	18945	0	0	18694	18688	1	0
P04_12_B	9579	0	0	4	0	9470	9470
P02_08_D	22708	1	0	22432	22425	1	0
P02_02_A	23582	0	0	23280	23263	3	0
P03_09_C	25444	1	0	1	0	25063	25063
P02_11_E	14029	0	0	13821	13819	2	0
P02_08_A	29447	1	0	29051	29048	1	0
P03_11_G	23414	1	0	0	0	22391	22390
P02_11_D	7139	0	0	7023	7023	7	0
P01_10_C	20575	20244	20244	0	0	0	0
P01_01_E	46666	46046	46044	6	0	13	0
P01_03_F	28344	27947	27945	1	0	5	0
P05_01_C	1019	1	0	0	0	1001	1000
